"id";"text";"is_labelled"
"673303370334011392";"""Anak Wajib Menggunakan Helm Untuk Keselamatan"". Tertib Berlalu Lintas Cermin Budaya Wong Solo. #SoloTertibLalin https://t.co/kWEI6FqGKj";"0"
"654629063848398848";"""Ancik-ancik pucuking eri."" Arti: Bertumpu pada ujung duri (keadaan yang sangat gawat). #pepatahjawa";"0"
"667220921715785728";"""Arep jamure emoh watange."" Arti: Mau enaknya tidak mau susahnya. #pepatahjawa";"0"
"664785495298191360";"""ART CONCORTIUM""
LOCAL ANASTESY
Pameran Seni Rupa 7 Kampus Seni -ISI SURAKARTA (Institut Seni Indonesia... https://t.co/CTpp5kQleF";"0"
"664786049990860801";"""ART CONCORTIUM"" Pameran Seni Rupa 7 Kampus Seni  | 18 - 21 November 2015 | Gedung 6 FSRD, ISI Surakarta. https://t.co/yDZU0wbz8P";"0"
"658417783588257792";"""Asu gedhe menang kerahe."" Arti: Pangkat tinggi, pasti lebih menang dalam berperkara. #pepatahjawa";"0"
"654431535873921024";"""Asu rebutan balung."" Arti: Berdebat hal yang sepele, tak ada yang mau mengalah. #pepatahjawa";"0"
"650170449498914816";"""BANKERS DAY 2015""
yang dipersembahkan oleh Badan Musyawarah Perbankan Daerah Kalimantan Selatan
Tgl… https://t.co/74BZu2EKPw";"0"
"663596938193842176";"""Bathok bolu isi madu."" Orang yg tampak sederhana tapi punya ilmu mendalam dan budi pekerti yg luhur. #pepatahjawa";"0"
"673313463800737792";"""Batik Solo Trans Solusi Kemacetan Mengurangi Kecelakaan"". #SoloTertibLalin https://t.co/ZFqp1a4O6D";"0"
"659373336699383808";"""Bazaaaar Malam Sentra Niaga Solo Baru | 29-31 okt 2015 jam 16.00-21.00  | PESTA KEMBANG API 31 Okt https://t.co/bOA3OaUlEd";"0"
"665363868533858304";"""Be a good listener. Your ears will never get you in trouble."" - Frank Tyger // Have a great weekend Eventholic";"0"
